week,sentiment
2022-05-30/2022-06-05,-0.030917647058823522
2022-06-06/2022-06-12,0.11163684210526317
2022-06-13/2022-06-19,-0.0654
2022-06-20/2022-06-26,-0.07742
2022-06-27/2022-07-03,-0.11097142857142857
2022-07-04/2022-07-10,-0.11438
2022-07-11/2022-07-17,-0.141
2022-07-18/2022-07-24,0.010072727272727278
2022-07-25/2022-07-31,-0.042244444444444446
2022-08-01/2022-08-07,-0.0821705882352941
2022-08-08/2022-08-14,-0.09765
2022-08-15/2022-08-21,0.12321666666666668
2022-08-22/2022-08-28,-0.02074999999999999
2022-08-29/2022-09-04,-0.0553
2022-09-05/2022-09-11,-0.05122499999999999
2022-09-12/2022-09-18,-0.07072222222222221
2022-09-19/2022-09-25,0.04680000000000001
2022-09-26/2022-10-02,-0.003699999999999995
2022-10-03/2022-10-09,-0.07397857142857142
2022-10-10/2022-10-16,-0.11178888888888888
2022-10-17/2022-10-23,-0.05595
2022-10-24/2022-10-30,-0.008866666666666662
2022-10-31/2022-11-06,0.08013846153846155
2022-11-07/2022-11-13,-0.039235
2022-11-14/2022-11-20,-0.14025882352941177
2022-11-21/2022-11-27,0.048571428571428564
2022-11-28/2022-12-04,0.04995000000000001
2022-12-05/2022-12-11,-0.00387777777777777
2022-12-12/2022-12-18,-0.07375999999999999
2022-12-19/2022-12-25,0.010047619047619052
2022-12-26/2023-01-01,0.06706153846153848
2023-01-02/2023-01-08,-0.0490235294117647
2023-01-09/2023-01-15,-0.11760999999999999
2023-01-16/2023-01-22,-0.07366874999999999
2023-01-23/2023-01-29,-0.06042000000000001
2023-01-30/2023-02-05,-0.01924285714285714
2023-02-06/2023-02-12,0.15317692307692307
2023-02-13/2023-02-19,-0.19502999999999998
2023-02-20/2023-02-26,0.18076666666666666
2023-02-27/2023-03-05,-0.10112999999999998
2023-03-06/2023-03-12,-0.08038
2023-03-13/2023-03-19,-0.142975
2023-03-20/2023-03-26,0.035100000000000006
2023-03-27/2023-04-02,-0.10247500000000001
2023-04-03/2023-04-09,-0.034591666666666666
2023-04-10/2023-04-16,-0.13216666666666665
2023-04-17/2023-04-23,0.07880000000000001
2023-04-24/2023-04-30,-0.10115
2023-05-01/2023-05-07,-0.07497999999999999
2023-05-08/2023-05-14,-0.05719
2023-05-15/2023-05-21,-0.10113333333333334
2023-05-22/2023-05-28,-0.11097142857142857
