TSLA,,,
1/1/2020,Date,Close,Weekly Change(Y)
12/31/2022,1/3/2020 16:00:00,29.53,
,1/10/2020 16:00:00,31.88,0.07958008805
,1/17/2020 16:00:00,34.03,0.06744040151
,1/24/2020 16:00:00,37.65,0.1063767264
,1/31/2020 16:00:00,43.37,0.1519256308
,2/7/2020 16:00:00,49.87,0.1498731842
,2/14/2020 16:00:00,53.34,0.06958091037
,2/21/2020 16:00:00,60.07,0.1261717285
,2/28/2020 16:00:00,44.53,-0.2586981855
,3/6/2020 16:00:00,46.9,0.0532225466
,3/13/2020 16:00:00,36.44,-0.2230277186
,3/20/2020 16:00:00,28.5,-0.2178924259
,3/27/2020 16:00:00,34.29,0.2031578947
,4/3/2020 16:00:00,32,-0.06678331875
,4/9/2020 16:00:00,38.2,0.19375
,4/17/2020 16:00:00,50.26,0.3157068063
,4/24/2020 16:00:00,48.34,-0.03820135296
,5/1/2020 16:00:00,46.75,-0.03289201489
,5/8/2020 16:00:00,54.63,0.1685561497
,5/15/2020 16:00:00,53.28,-0.02471169687
,5/22/2020 16:00:00,54.46,0.02214714715
,5/29/2020 16:00:00,55.67,0.02221814176
,6/5/2020 16:00:00,59.04,0.06053529729
,6/12/2020 16:00:00,62.35,0.05606368564
,6/19/2020 16:00:00,66.73,0.07024859663
,6/26/2020 16:00:00,63.98,-0.04121084969
,7/2/2020 16:00:00,80.58,0.25945608
,7/10/2020 16:00:00,102.98,0.2779846116
,7/17/2020 16:00:00,100.06,-0.02835502039
,7/24/2020 16:00:00,94.47,-0.05586648011
,7/31/2020 16:00:00,95.38,0.009632687626
,8/7/2020 16:00:00,96.85,0.01541203607
,8/14/2020 16:00:00,110.05,0.136293237
,8/21/2020 16:00:00,136.67,0.24189005
,8/28/2020 16:00:00,147.56,0.07968098339
,9/4/2020 16:00:00,139.44,-0.055028463
,9/11/2020 16:00:00,124.24,-0.1090074584
,9/18/2020 16:00:00,147.38,0.1862524147
,9/25/2020 16:00:00,135.78,-0.07870810151
,10/2/2020 16:00:00,138.36,0.01900132567
,10/9/2020 16:00:00,144.67,0.04560566638
,10/16/2020 16:00:00,146.56,0.01306421511
,10/23/2020 16:00:00,140.21,-0.04332696507
,10/30/2020 16:00:00,129.35,-0.0774552457
,11/6/2020 16:00:00,143.32,0.1080015462
,11/13/2020 16:00:00,136.17,-0.04988836171
,11/20/2020 16:00:00,163.2,0.1985018727
,11/27/2020 13:00:00,195.25,0.1963848039
,12/4/2020 16:00:00,199.68,0.02268886044
,12/11/2020 16:00:00,203.33,0.01827924679
,12/18/2020 16:00:00,231.67,0.1393793341
,12/24/2020 13:00:00,220.59,-0.04782664998
,12/31/2020 16:00:00,235.22,0.06632213609
,1/8/2021 16:00:00,293.34,0.2470878327
,1/15/2021 16:00:00,275.39,-0.0611917911
,1/22/2021 16:00:00,282.21,0.0247648789
,1/29/2021 16:00:00,264.51,-0.06271925162
,2/5/2021 16:00:00,284.08,0.07398586065
