headline,date,doc_type,material_type,section,keywords
It’s Not All Bad. Here’s Proof.,2020-03-27,article,News,,"['Coronavirus (2019-nCoV)', 'Quarantines']"
Coronavirus in N.Y.C.: The Latest,2020-03-20,article,briefing,,"['Coronavirus (2019-nCoV)', 'Exercise', 'Shutdowns (Institutional)', 'Quarantines']"
"Coal Stocks Rise, Even as the Planet Warms",2021-10-22,article,News,,"['Greenhouse Gas Emissions', 'Coal', 'International Trade and World Market', 'Global Warming', 'Stocks and Bonds', 'Economics (Theory and Philosophy)']"
Your Wednesday Briefing,2021-04-20,article,briefing,,[]
Why Are Elon Musk and Jeff Bezos So Interested in Space?,2021-02-26,article,Op-Ed,,"['Space and Astronomy', 'Perseverance (Mars Rover)', 'Mars (Planet)', 'Jupiter (Planet)', 'Private Spaceflight']"
12 New Books We Recommend This Week,2022-09-29,article,News,,['Books and Literature']
Scooters Get a Second Chance,2022-06-08,article,News,,"['internal-sub-only-nl', 'Automobiles', 'Urban Areas', 'Electric Bicycles, Motorcycles and Scooters']"
Happy Results Turned Up Everywhere You Looked,2020-01-17,article,News,,"['Computers and the Internet', 'E-Commerce', 'Stocks and Bonds', 'Exercise', 'Mutual Funds', 'Company Reports', 'Bicycles and Bicycling', 'Small Business', 'Shopping and Retail', 'Millennial Generation', ""Standard & Poor's 500-Stock Index""]"
"If You Don’t Trust A.I. Yet, You’re Not Wrong",2021-07-30,article,Op-Ed,,"['Artificial Intelligence', 'Facial Recognition Software', 'Regulation and Deregulation of Industry', 'Civil Rights and Liberties', 'Discrimination']"
How Germany Hopes to Get the Edge in Driverless Technology,2021-07-14,article,News,,"['Driverless and Semiautonomous Vehicles', 'Law and Legislation', 'Automobiles', 'Regulation and Deregulation of Industry', 'Politics and Government']"
