headline,date,doc_type,material_type,section,keywords
The Business World Wakes Up to a Pandemic,2020-03-12,article,News,,"['Banking and Financial Institutions', 'United States Economy', 'Coronavirus (2019-nCoV)']"
How a Buzzy Cryptocurrency Fizzled,2021-06-28,article,News,,"['Virtual Currency', 'Surfside, Fla, Building Collapse (2021)', 'Coronavirus Aid, Relief, and Economic Security Act (2020)']"
The 2022 High School Yearbook of American Politics,2022-12-30,article,Op-Ed,,"['United States Politics and Government', 'Two Thousand Twenty Two', 'Law and Legislation']"
Your Wednesday Briefing,2022-11-16,article,briefing,,[]
The Dollar Is Stronger. Who Wins? Who Loses?,2022-05-06,article,News,,"['United States Economy', 'Currency', 'International Trade and World Market', 'US Dollar (Currency)', 'Inflation (Economics)', 'Supply Chain', 'Economic Conditions and Trends', 'Government Bonds']"
"Shaming Apple and Texting Musk, a Ukraine Minister Uses Novel War Tactics",2022-03-12,article,News,,"['Russian Invasion of Ukraine (2022)', 'Politics and Government', 'Defense and Military Forces', 'Computers and the Internet', 'Cyberwarfare and Defense', 'Social Media', 'Virtual Currency', 'Content Type: Personal Profile']"
"Coronavirus, Anthony Fauci, California: Your Tuesday Briefing",2020-05-12,article,briefing,,[]
Boosters for All,2021-11-19,article,briefing,,"['Coronavirus (2019-nCoV)', 'Vaccination and Immunization', 'Coronavirus Risks and Safety Concerns']"
"‘Ted Lasso’ Recap, Season 2, Episode 6: The Roy Kent Effect",2021-08-27,article,Review,,['Television']
"At MoMA, Love of Cars Can Be Exhausting",2021-08-12,article,Review,,"['Automobiles', 'Fuel Emissions (Transportation)', 'Art', 'Museums', 'Global Warming']"
