headline,date,doc_type,material_type,section,keywords
The Gospel of Hydrogen Power,2020-12-28,article,News,,"['Electric and Hybrid Vehicles', 'Hydrogen', 'Batteries', 'Energy and Power', 'Innovation', 'Content Type: Personal Profile']"
Biden’s Climate Team Begins to Take Shape,2020-12-16,article,News,,"['Presidential Transition (US)', 'Appointments and Executive Changes', 'United States Politics and Government', 'Global Warming', 'Greenhouse Gas Emissions', 'Politics and Government']"
China’s Surveillance State Sucks Up Data. U.S. Tech Is Key to Sorting It.,2020-11-23,article,News,,"['Surveillance of Citizens by Government', 'Computer Vision', 'Facial Recognition Software', 'Computer Chips', 'Computers and the Internet', 'Artificial Intelligence', 'Cameras', 'Muslims and Islam', 'Uighurs (Chinese Ethnic Group)', 'Human Rights and Human Rights Violations']"
Steve Martin Likes Books in the ‘I Can’t Put This Down’ Genre,2020-10-29,article,News,,"['Books and Literature', 'Writing and Writers', 'Content Type: Personal Profile', 'Actors and Actresses']"
Britain Is Getting Ready for Its Space Race,2020-10-06,article,News,,"['Satellites', 'Rocket Science and Propulsion', 'Private Spaceflight', 'Great Britain Withdrawal from EU (Brexit)']"
China Escalates Its Fight Against Big Tech,2021-07-06,article,News,,"['Cyberattacks and Hackers', 'Corporate Social Responsibility']"
And the Trumps Themselves?,2021-07-02,article,briefing,,[]
Your Monday Briefing: Leaked U.S. Intelligence,2023-04-09,article,briefing,,"['International Relations', 'United States International Relations', 'Classified Information and State Secrets', 'Espionage and Intelligence Services', 'Russian Invasion of Ukraine (2022)']"
"Defying Republicans, Big Companies Keep the Focus on Voting Rights",2021-04-12,article,News,,"['Black People', 'Blacks', 'Corporate Social Responsibility', 'Voter Registration and Requirements']"
Expansion of Clean Energy Loans Is ‘Sleeping Giant’ of Climate Bill,2022-08-22,article,News,,"['Inflation Reduction Act of 2022', 'Federal Aid (US)', 'Alternative and Renewable Energy', 'Nuclear Energy', 'Geothermal Power', 'Solar Energy', 'Electric and Hybrid Vehicles', 'United States Politics and Government', 'Global Warming']"
