headline,date,doc_type,material_type,section,keywords
Is This Finally the Year of the Electric Car?,2022-03-11,article,News,,"['internal-sub-only', 'Automobiles', 'Electric and Hybrid Vehicles', 'Infrastructure (Public Works)', 'Greenhouse Gas Emissions']"
"McCarthy Speaks for More Than Eight Hours, Delaying a House Vote",2021-11-19,article,News,,"['United States Politics and Government', 'Debates (Political)']"
"Actress and Hairdresser Took $3 Million From Malibu Doctor, Prosecutors Say",2023-02-03,article,News,,"['Frauds and Swindling', 'Money Laundering', 'Identity Theft']"
Chinese Unrest Over Lockdown Upends Global Economic Outlook,2022-11-28,article,News,,"['International Trade and World Market', 'Economic Conditions and Trends', 'Coronavirus (2019-nCoV)', 'Supply Chain', 'Prices (Fares, Fees and Rates)', 'Oil (Petroleum) and Gasoline', 'Factories and Manufacturing']"
Amazon Without Jeff Bezos,2021-02-03,article,News,,"['Computers and the Internet', 'Cloud Computing']"
"The Don Quixote of Brooklyn, Tilting at Plastic Bags",2021-01-07,article,News,,"['Trees and Shrubs', 'Plastic Bags', 'Waste Materials and Disposal', 'Volunteers and Community Service', 'Content Type: Personal Profile', 'Poetry and Poets']"
Companies Are Stuck Between Their Workers and Politicians,2022-05-07,article,News,,"['Roe v Wade (Supreme Court Decision)', 'Politics and Government']"
Could Robots From Boston Dynamics Beat Me in a Fight?,2021-09-08,article,News,,"['Robots and Robotics', 'Obstacle Courses (Sport)', 'Parkour (Sport)']"
Your Friday Briefing,2021-05-13,article,briefing,,[]
"Microsoft to Invest $10 Billion in OpenAI, the Creator of ChatGPT",2023-01-23,article,News,,"['Computers and the Internet', 'Artificial Intelligence', 'Finances', 'ChatGPT']"
