headline,date,doc_type,material_type,section,keywords
"How to Threaten a Political Movement, 30 Seconds at a Time",2020-03-04,article,News,,"['Health Insurance and Managed Care', 'Political Advertising', 'United States Politics and Government']"
Tech Leaders Blamed San Francisco for Bob Lee’s Killing. Then Came the Arrest.,2023-04-14,article,News,,"['Murders, Attempted Murders and Homicides', 'Computers and the Internet', 'Crime and Criminals', 'Politics and Government']"
Your Monday Briefing,2023-03-06,article,briefing,,[]
Your Wednesday Evening Briefing,2022-11-16,article,News,,[]
Your Thursday Briefing: Russia Declares Martial Law In Occupied Ukraine,2022-10-19,article,briefing,,[]
What’s in the Federal Stimulus for Californians?,2021-03-16,article,briefing,,['Coronavirus (2019-nCoV)']
Your Wednesday Briefing: Omicron in Europe,2022-01-11,article,briefing,,[]
Your Wednesday Briefing,2021-11-30,article,briefing,,[]
"Biden, Supreme Court, Cider: Your Weekend Briefing",2021-10-03,article,briefing,,[]
"Manchin, Trump Taxes, John Geddert: Your Thursday Evening Briefing",2021-02-25,article,briefing,,[]
