headline,date,doc_type,material_type,section,keywords
Biden’s Antitrust Team Talks Its Way to a Win,2021-07-27,article,News,,"['Antitrust Laws and Competition Issues', 'Mergers, Acquisitions and Divestitures', 'Telecommuting', 'Vaccination and Immunization']"
The Back Room of This Artist’s Studio Is Called the Abattoir,2023-04-13,article,News,,"['Content Type: Personal Profile', 'Art', 'Sculpture']"
Kushner Firm Got Hundreds of Millions From 2 Persian Gulf Nations,2023-03-30,article,News,,"['United States Politics and Government', 'United States International Relations', 'Sovereign Wealth Funds', 'Private Equity']"
"Asian Americans, Shifting Right",2023-03-06,article,briefing,,"['internal-storyline-no', 'Asian-Americans', 'Elections', 'Politics and Government', 'United States Politics and Government']"
Mr. Musk Goes to Washington,2023-01-27,article,News,,"['internal-storyline-no', 'Inflation (Economics)', 'Suits and Litigation (Civil)']"
Live Nation Faces a Skeptical Senate,2023-01-24,article,News,,"['internal-storyline-no', 'Antitrust Laws and Competition Issues', 'Company Reports', 'Ticket Scalping', 'Stocks and Bonds']"
The ‘SPAC King’ Is Over It,2022-12-07,article,News,,"['Special Purpose Acquisition Companies (SPAC)', 'Venture Capital', 'Regulation and Deregulation of Industry', 'Content Type: Personal Profile']"
SpaceX Employees Say They Were Fired for Speaking Up About Elon Musk,2022-11-17,article,News,,"['Workplace Hazards and Violations', 'Labor and Jobs', 'Suits and Litigation (Civil)', 'Private Spaceflight', 'Sexual Harassment', 'audio-neutral-informative']"
Crypto Investors Grapple With the Collapse of a Giant,2022-11-09,article,News,,"['Midterm Elections (2022)', 'Elections', 'Company Reports']"
Why Wall Street Loves Gridlock in Washington,2022-11-08,article,News,,"['Midterm Elections (2022)', 'Elections', 'Corporate Social Responsibility']"
