headline,date,doc_type,material_type,section,keywords
How Republicans Fed a Misinformation Loop About the Pelosi Attack,2022-11-05,multimedia,Interactive Feature,,"['Assaults', 'Rumors and Misinformation', 'Conspiracy Theories', 'Social Media', 'Right-Wing Extremism and Alt-Right', 'News and News Media']"
Sheryl Sandberg’s Long (Overdue) Goodbye,2022-06-03,article,Op-Ed,,"['Content Type: Personal Profile', 'Women and Girls', 'Social Media', 'Rumors and Misinformation', 'Storming of the US Capitol (Jan, 2021)', 'United States Politics and Government', 'Books and Literature', 'internal-sub-only-nl']"
Activist Investors Are Circling Salesforce,2023-01-23,article,News,,"['United States Politics and Government', 'Shareholder Rights and Activism', 'internal-storyline-no']"
Transcript: Ezra Klein Interviews Dan Wang,2023-03-14,article,Op-Ed,,[]
How Trump Coins Became an Internet Sensation,2022-01-28,article,News,,"['Collectors and Collections', 'Numismatics', 'Virtual Currency', 'Frauds and Swindling', 'Rumors and Misinformation', 'Right-Wing Extremism and Alt-Right', 'Online Advertising', 'Social Media', 'United States Politics and Government', 'audio-neutral-informative', 'audio-neutral-immersive']"
These Companies Will Cover Travel Expenses for Employee Abortions,2022-06-27,article,News,,"['United States Economy', 'Workplace Hazards and Violations', 'Health Insurance and Managed Care', 'Abortion', 'Travel and Vacations', ""Dobbs v Jackson Women's Health Organization (Supreme Court Decision)""]"
"After 40 Years, Abba Takes a Chance With Its Legacy",2021-10-27,article,News,,"['Pop and Rock Music', 'Content Type: Personal Profile', 'Virtual Reality (Computers)']"
The Lure of the ‘Made in America’ Sales Pitch,2023-03-25,article,News,,"['Factories and Manufacturing', 'Labor and Jobs', 'International Trade and World Market', 'United States Economy', 'Ex-Convicts', 'Supply Chain']"
Big Cuts Are Coming to Goldman Sachs,2023-01-11,article,News,,"['Airlines and Airplanes', 'Banking and Financial Institutions', 'internal-storyline-no']"
71 of Our Favorite Facts of 2022,2022-12-31,article,News,,['Two Thousand Twenty Two']
