headline,date,doc_type,material_type,section,keywords
Ditching Fossil Fuels,2022-08-12,article,briefing,,"['internal-storyline-no', 'Greenhouse Gas Emissions', 'Automobiles', 'Global Warming', 'Fuel Efficiency', 'Fuel Emissions (Transportation)', 'Law and Legislation', 'Electric and Hybrid Vehicles']"
Cracking Down on a Wall Street Trend: E.S.G. Makeovers,2022-09-17,article,News,,"['Stocks and Bonds', 'Mutual Funds', 'Corporate Social Responsibility']"
When #Vanlife Meets the $300 Tank,2022-06-15,article,News,,"['Vans', 'Recreational Vehicles', 'Road Trips', 'Budget Travel', 'Oil (Petroleum) and Gasoline', 'Prices (Fares, Fees and Rates)', 'National Parks, Monuments and Seashores', 'Summer (Season)', 'Fuel Emissions (Transportation)', 'Global Warming', 'Quarantine (Life and Culture)']"
"For Tens of Millions of Americans, the Good Times Are Right Now",2022-05-10,article,News,,"['United States Economy', 'Real Estate and Housing (Residential)', 'Income Inequality', 'Inflation (Economics)', 'Finances', 'Labor and Jobs', 'Retirement', 'src-reader-callout']"
The New Billionaire Tax in Democrats’ Sights,2021-10-25,article,News,,"['High Net Worth Individuals', 'Greenhouse Gas Emissions', 'Capital Gains Tax', 'Bitcoin (Currency)', 'E-Sports']"
The Covid Fable,2021-10-08,article,briefing,,[]
How Does Biden Recover From His Week From Hell?,2021-08-30,article,Op-Ed,,"['Afghanistan War (2001- )', 'American Jobs Plan (2021)', 'Education (K-12)', 'United States Politics and Government', 'Nuclear Energy', 'Coronavirus (2019-nCoV)', 'Education (Pre-School)', 'Global Warming']"
How Strong Is the Economy?,2023-04-24,article,briefing,,"['internal-storyline-no', 'United States Economy']"
‘How Much Was That?’,2022-12-02,article,News,,"['internal-sub-only', 'Love (Emotion)', 'Children and Childhood', ""Parkinson's Disease""]"
Maybe Joe Biden Knows Joe Manchin Better Than We Thought,2022-08-01,article,Op-Ed,,"['United States Politics and Government', 'Inflation Reduction Act of 2022', 'Midterm Elections (2022)']"
