headline,date,doc_type,material_type,section,keywords
"Taiwan, Trade, Tech and More: A Tense Era in U.S.-China Ties",2021-11-15,article,News,,"['United States International Relations', 'International Trade and World Market', 'Forced Labor', 'Uighurs (Chinese Ethnic Group)', 'United States Politics and Government']"
This Is Where the States Want Billions in Infrastructure Funding Spent,2021-11-06,article,News,,"['American Jobs Plan (2021)', 'Infrastructure (Public Works)', 'Bridges and Tunnels', 'States (US)', 'Transportation', 'Transit Systems', 'Water', 'Electric and Hybrid Vehicles', 'Railroads', 'Federal Aid (US)', 'Law and Legislation', 'United States Politics and Government', 'audio-neutral-informative']"
Reflections on Our Summer Reading Contest and Our Final Week of Winners,2021-08-31,article,News,,[]
Why This Billionaire Is Worried About Green Investing,2021-10-27,article,News,,"['Oil (Petroleum) and Gasoline', 'Bitcoin (Currency)', 'Corporate Social Responsibility', 'Inflation (Economics)']"
"A Supreme Court, Transformed",2021-07-06,article,briefing,,[]
What if Inflation Isn’t ‘Transitory’?,2021-07-14,article,News,,"['Greenhouse Gas Emissions', 'Mergers, Acquisitions and Divestitures', 'Inflation (Economics)', 'Securities and Commodities Violations', 'Shareholder Rights and Activism']"
E.V. Bonanza Flows to Red States That Denounce Biden Climate Policies,2022-10-19,article,News,,"['Inflation Reduction Act of 2022', 'Electric and Hybrid Vehicles', 'Automobiles', 'Factories and Manufacturing', 'States (US)', 'United States Politics and Government', 'Law and Legislation', 'Global Warming', 'Batteries', 'Alternative and Renewable Energy']"
Reno Is Booming. Some Workers Feel Left Behind.,2022-10-14,article,News,,"['Economic Conditions and Trends', 'Labor and Jobs', 'Wages and Salaries', 'Organized Labor', 'Warehouses', 'E-Commerce', 'Affordable Housing', 'Inflation (Economics)']"
Cracking Down on a Wall Street Trend: E.S.G. Makeovers,2022-09-17,article,News,,"['Stocks and Bonds', 'Mutual Funds', 'Corporate Social Responsibility']"
When #Vanlife Meets the $300 Tank,2022-06-15,article,News,,"['Vans', 'Recreational Vehicles', 'Road Trips', 'Budget Travel', 'Oil (Petroleum) and Gasoline', 'Prices (Fares, Fees and Rates)', 'National Parks, Monuments and Seashores', 'Summer (Season)', 'Fuel Emissions (Transportation)', 'Global Warming', 'Quarantine (Life and Culture)']"
