headline,date,doc_type,material_type,section,keywords
Nissan and Renault Rebalance Power in Race for Electric Cars,2023-01-30,article,News,,"['Automobiles', 'Electric and Hybrid Vehicles']"
"Tiny Love Stories: ‘At the Halloween Party, Anxious to Go Home’",2021-10-26,article,News,,"['Love (Emotion)', 'Modern Love (Times Column)', 'Dating and Relationships', 'Halloween', 'Online Dating']"
Nissan and Renault seek stronger ties with a commitment to electric cars.,2022-01-27,article,News,,['Electric and Hybrid Vehicles']
Latvia is sending cars seized from drunken drivers to Ukraine.,2023-03-09,article,News,,"['Drunken and Reckless Driving', 'Automobiles', 'Defense and Military Forces']"
Musk Faces Growing Anger Over Twitter Ban of Journalists,2022-12-16,article,News,,"['Social Media', 'Freedom of Speech and Expression']"
You Shared What You Love About California,2023-05-18,article,briefing,,[]
How Californians Are Celebrating the Holidays,2022-12-23,article,briefing,,[]
Can E-Bikes Go Mainstream?,2022-10-12,article,News,,"['Electric Bicycles, Motorcycles and Scooters', 'Innovation', 'Commuting']"
Your Tuesday Evening Briefing,2022-11-15,article,briefing,,[]
"Elon Musk Takes Twitter, and Tech Deals, to Another Level",2022-10-28,article,News,,"['Social Media', 'Computers and the Internet', 'High Net Worth Individuals', 'Corporate Social Responsibility', 'Mergers, Acquisitions and Divestitures']"
