headline,date,doc_type,material_type,section,keywords
Mercedes and Rivian Plan to Make Vans Together in Europe,2022-09-08,article,News,,"['Electric and Hybrid Vehicles', 'Automobiles', 'Factories and Manufacturing', 'Vans']"
Starship Has Deep Financial and Symbolic Importance to Elon Musk,2023-04-20,article,News,,['Private Spaceflight']
Rivian Lost $1.7 Billion in the Third Quarter,2022-11-09,article,News,,"['Company Reports', 'Electric and Hybrid Vehicles', 'Trucks and Trucking', 'Automobiles', 'Production']"
Ford and Stellantis say car sales fell at the start of the year.,2022-04-04,article,News,,"['Company Reports', 'Automobiles']"
Antisemitic campaign tries to capitalize on Elon Musk’s Twitter takeover.,2022-10-28,article,News,,"['Anti-Semitism', 'Discrimination', 'Social Media', 'Corporate Social Responsibility', 'Right-Wing Extremism and Alt-Right', 'Fringe Groups and Movements', 'Freedom of Speech and Expression']"
Stellantis and Samsung to spend $2.5 billion on an electric vehicle battery plant in Indiana.,2022-05-24,article,News,,"['Electric and Hybrid Vehicles', 'Batteries', 'Factories and Manufacturing', 'Automobiles']"
Lyft will team up with Ford and a self-driving car start-up to offer rides in Miami.,2021-07-21,article,News,,"['Driverless and Semiautonomous Vehicles', 'Automobiles', 'Car Services and Livery Cabs']"
"Corporate profits are not keeping up with inflation, a warning sign for the market.",2021-12-09,article,News,,"['United States Economy', 'Stocks and Bonds']"
The Debate Around Bruce’s Beach,2023-03-09,article,briefing,,[]
California’s Fraught History With Childhood Vaccines,2021-10-05,article,briefing,,[]
