headline,date,doc_type,material_type,section,keywords
How to Spend a Perfect Weekend in Santa Cruz,2022-10-21,article,News,,"['Travel and Vacations', 'Surfing', 'Bars and Nightclubs', 'Beaches', 'Beer', 'Restaurants', 'Local Food', 'Wines', 'Music', 'Wine Bars']"
After the Gun Ruling,2022-06-24,article,News,,"['Gun Control', 'Uvalde, Tex, Shooting (May 24, 2022)', 'Demonstrations, Protests and Riots', 'Law and Legislation', 'Mass Shootings', 'Workplace Environment', 'United States Economy', 'Corporate Taxes']"
Bernanke’s Economic Warning,2022-05-16,article,News,,"['United States Economy', 'Russian Invasion of Ukraine (2022)', 'Politics and Government', 'Subprime Mortgage Crisis', 'Supply Chain', 'Interest Rates', 'Corporate Taxes', 'Federal Taxes (US)']"
Inside Biden’s $5.8 Trillion Wish List,2022-03-29,article,News,,"['Business Travel', 'Smoking and Tobacco']"
Business Reckons With a Historic Court Moment,2022-03-21,article,News,,['Russian Invasion of Ukraine (2022)']
The Squeezing of the Oligarchs,2022-03-03,article,News,,"['Russian Invasion of Ukraine (2022)', 'Coronavirus Return to Office', 'Assets, Frozen']"
The Race to Avoid Omicron Lockdowns,2021-12-21,article,News,,"['Coronavirus Omicron Variant', 'Quarantine (Life and Culture)']"
Here’s What C.E.O.s Are Thankful For,2021-11-24,article,News,,"['Oil (Petroleum) and Gasoline', 'Strategic Petroleum Reserve (US)', 'Special Purpose Acquisition Companies (SPAC)']"
What They Saw in Ozy,2021-10-03,article,News,,"['Shutdowns (Institutional)', 'News and News Media', 'Advertising and Marketing', 'Venture Capital']"
The Winners and Losers from Super Bowl LVII,2023-02-13,article,News,,"['internal-storyline-no', 'Pop and Rock Music', 'Super Bowl']"
