headline,date,doc_type,material_type,section,keywords
He Found His Path in Nature. It Was Cut Short.,2022-12-14,multimedia,Interactive Feature,,"['Children and Childhood', 'Firearms', 'Gun Control']"
"Two Sisters, Their Minecraft Partner and a Meetup That Never Happened",2022-12-14,multimedia,Interactive Feature,,"['Deaths (Fatalities)', 'Children and Childhood', 'Gun Control', 'Veterinary Medicine']"
He Was Baptized on Sunday and Started School on Monday. Then He Was Gone.,2022-12-14,multimedia,Interactive Feature,,"['Deaths (Fatalities)', 'Baptist Churches', 'Firearms', 'Children and Childhood']"
He Worked Odd Jobs Across Chicago’s South Side. Until That Saturday Night.,2022-12-14,multimedia,Interactive Feature,,"['Children and Childhood', 'Firearms', 'Deaths (Fatalities)']"
He Wanted to Be a Boss Just Like His Mom. He Never Got the Chance.,2022-12-14,multimedia,Interactive Feature,,"['Gun Control', 'Children and Childhood', 'Small Business']"
"Corrections: Nov. 12, 2021",2021-11-12,article,Correction,,[]
Manchin’s Opposition to the Build Back Better Bill,2021-12-20,article,Letter,,[]
"Corrections: Oct. 12, 2021",2021-10-12,article,Correction,,[]
"Corrections: April 20, 2022",2022-04-20,article,Correction,,[]
