headline,date,doc_type,material_type,section,keywords
A Novelist Revisits Her ‘Haunted’ Childhood Home,2022-04-07,article,News,,"['Content Type: Personal Profile', 'Writing and Writers', 'Books and Literature']"
Biden Announces Measures at Major Ports to Battle Supply Chain Woes,2021-10-13,article,News,,"['International Trade and World Market', 'Shortages', 'Ports', 'Ships and Shipping', 'Inflation (Economics)', 'Prices (Fares, Fees and Rates)', 'Coronavirus (2019-nCoV)', 'Factories and Manufacturing', 'United States Economy', 'United States Politics and Government']"
Merkel Leaves the German Economy With Trouble Under the Hood,2021-09-17,article,News,,"['Elections', 'Economic Conditions and Trends', 'Politics and Government', 'Automobiles', 'International Trade and World Market', 'Electric and Hybrid Vehicles', 'International Relations', 'Labor and Jobs', 'Factories and Manufacturing', 'Regulation and Deregulation of Industry', 'Computers and the Internet']"
The DeSantis Delusion,2023-05-24,article,Op-Ed,,"['Presidential Election of 2024', 'Primaries and Caucuses', 'United States Politics and Government', 'Polls and Public Opinion', 'Conservatism (US Politics)', 'Abortion', 'Presidential Election of 2016', 'internal-sub-only-nl']"
This Is Why Politicians Like to Change the Subject,2023-05-01,article,Op-Ed,,"['United States Politics and Government', 'Elections', 'Appointments and Executive Changes']"
"Stabbing of Cash App Creator Raises Alarm, and Claims of ‘Lawless’ San Francisco",2023-04-07,article,News,,"['Murders, Attempted Murders and Homicides']"
‘Recession Resilient’ Climate Start-Ups Shine in Tech Downturn,2023-01-30,article,News,,"['Computers and the Internet', 'Venture Capital', 'Start-ups', 'Global Warming', 'Greenhouse Gas Emissions', 'Labor and Jobs', 'Entrepreneurship', 'Recession and Depression']"
Your Wednesday Briefing,2023-01-18,article,briefing,,[]
"Jeep Plant Shutdown Imperils Illinois Town and 1,350 Workers",2022-12-23,article,News,,"['Automobiles', 'Sports Utility Vehicles and Light Trucks', 'Layoffs and Job Reductions', 'Shutdowns (Institutional)', 'Factories and Manufacturing', 'Electric and Hybrid Vehicles', 'Organized Labor']"
Elon Musk Foments More Geopolitical Controversy With Ukraine Internet Dispute,2022-10-14,article,News,,"['Computers and the Internet', 'Russian Invasion of Ukraine (2022)', 'Defense and Military Forces', 'International Relations', 'United States Defense and Military Forces', 'United States International Relations']"
