headline,date,doc_type,material_type,section,keywords
Will Olympics Sponsors Face Blowback Over Peng Shuai?,2021-11-23,article,News,,"['Olympic Games (2022)', 'Inflation (Economics)']"
Between The Rock and a Hard Place,2021-10-20,article,Op-Ed,,"['internal-sub-only', 'Immigration and Emigration', 'Regulation and Deregulation of Industry', 'Vaccination and Immunization']"
Have the Anticapitalists Reached Harvard Business School?,2022-11-28,article,News,,"['Business Schools', 'Corporate Social Responsibility', 'Colleges and Universities', 'Capitalism (Theory and Philosophy)', 'Economics (Theory and Philosophy)']"
Bob Iger Ousts a Marvel Antagonist,2023-03-30,article,News,,"['internal-storyline-no', 'Movies']"
Big Tech Reconsiders the “Made in China” Way,2022-09-01,article,News,,"['iPhone', 'Income Tax']"
McDonald’s Orders a Board Shake-Up,2022-08-22,article,News,,"['Boards of Directors', 'Futures and Options Trading']"
The Pandemic Culls the Big Tech Herd,2022-02-11,article,Op-Ed,,"['internal-sub-only-nl', 'Social Media']"
"Buy GameStop, Fight Injustice. Just Don’t Sell.",2022-01-29,article,News,,"['Stocks and Bonds', 'Short Selling', 'Personal Finances', 'Social Media', 'Banking and Financial Institutions', 'Regulation and Deregulation of Industry']"
WeWork Hits the Stock Markets,2021-10-21,article,News,,"['Mergers, Acquisitions and Divestitures', 'Bitcoin (Currency)', 'Social Media', 'Initial Public Offerings']"
Carlyle Taps a Former Goldman Executive to Fill Its Leadership Void,2023-02-06,article,News,,['internal-storyline-no']
