headline,date,doc_type,material_type,section,keywords
Your Friday Briefing,2023-02-17,article,briefing,,[]
Are Tiny Homes a Solution to the Housing Crisis?,2023-02-10,article,News,,"['Real Estate and Housing (Residential)', 'Interior Design and Furnishings', 'Restoration and Renovation', 'Home Repairs and Improvements', 'Sustainable Living', 'Furniture', 'Architecture', 'Affordable Housing', 'Conventions, Fairs and Trade Shows', 'Building (Construction)']"
China’s Self-inflicted Pain,2023-01-18,article,briefing,,"['internal-storyline-no', 'Economic Conditions and Trends']"
The Legal Onslaught Facing Credit Card Companies,2022-08-01,article,News,,"['Child Abuse and Neglect', 'Pornography', 'Child Pornography']"
Trump Oversight,2022-12-22,article,briefing,,"['United States Politics and Government', 'Politics and Government', 'Trump Tax Returns', 'Income Tax']"
Successful End of NASA Moon Mission Shifts Attention to SpaceX,2022-12-11,article,News,,"['Artemis Program', 'Moon', 'Space and Astronomy', 'Rocket Science and Propulsion', 'Private Spaceflight']"
A Full Return to the Office? Does ‘Never’ Work for You?,2022-06-09,article,News,,"['Coronavirus Return to Office', 'Workplace Environment', 'Work-Life Balance', 'Telecommuting', 'audio-neutral-informative', 'audio-neutral-immersive']"
A Conversation With Anthony Rendon After a Leadership Challenge,2022-06-02,article,briefing,,"['State Legislatures', 'Gun Control', 'Water']"
Warehouses Transform N.Y.C. Neighborhoods as E-Commerce Booms,2022-03-16,article,News,,"['Delivery Services', 'E-Commerce', 'Supply Chain', 'Real Estate (Commercial)', 'Shopping and Retail', 'Warehouses', 'Building (Construction)']"
The S.E.C. Wants to Cut SPACs Down to Size,2021-12-10,article,News,,"['Special Purpose Acquisition Companies (SPAC)', 'Wages and Salaries', 'Organized Labor']"
