headline,date,doc_type,material_type,section,keywords
Postcards From a World on Fire,2021-12-13,multimedia,Interactive Feature,,"['Global Warming', 'Environment', 'Conservation of Resources', 'Hurricanes and Tropical Storms', 'Greenhouse Gas Emissions', 'Endangered and Extinct Species', 'Coastal Areas', 'Weather', 'Floods', 'Agriculture and Farming', 'Drought']"
Transcript: Ezra Klein Interviews Gary Marcus,2023-01-06,article,Op-Ed,,[]
Transcript: Ezra Klein Interviews Bill McKibben,2022-11-15,article,Op-Ed,,[]
"‘Wait Till I Hit 18,’ He Told His Cousins. He Never Did.",2022-12-14,multimedia,Interactive Feature,,"['Gun Control', 'Children and Childhood', 'Football', 'Deaths (Fatalities)']"
"He Was the Youngest, the Family Cuddler. He Never Got to Grow Up.",2022-12-14,multimedia,Interactive Feature,,"['Deaths (Fatalities)', 'Children and Childhood', 'Gun Control', 'Travel and Vacations']"
He Was the Wheelie King of Grand Rapids. Biking Almost Saved His Life.,2022-12-14,multimedia,Interactive Feature,,"['Children and Childhood', 'Deaths (Fatalities)', 'Firearms']"
She Didn’t Want a Sweet 16. But It Was the Best Night of Her Short Life.,2022-12-14,multimedia,Interactive Feature,,"['Children and Childhood', 'Deaths (Fatalities)', 'Firearms', 'Gun Control']"
She Used Music to Cope With a Life of Loss. But Nothing Could Keep Her Safe.,2022-12-14,multimedia,Interactive Feature,,"['Children and Childhood', 'Firearms', 'Deaths (Fatalities)']"
Violence Stalked His Family. He Couldn’t Escape It.,2022-12-14,multimedia,Interactive Feature,,"['Deaths (Fatalities)', 'Children and Childhood', 'Firearms', 'Gun Control']"
The Lives They Lived,2022-12-14,multimedia,Interactive Feature,,"['Deaths (Fatalities)', 'Firearms', 'Death and Dying', 'Children and Childhood', 'Murders, Attempted Murders and Homicides']"
