headline,date,doc_type,material_type,section,keywords
"Sustainability Index Drops Tesla, Prompting Insult from Musk",2022-05-18,article,News,,"['Electric and Hybrid Vehicles', 'Corporate Social Responsibility', 'Factories and Manufacturing', 'Discrimination', ""Standard & Poor's 500-Stock Index"", 'Stocks and Bonds', 'Workplace Hazards and Violations']"
"Elon Musk opens Tesla’s first European plant, near Berlin.",2022-03-22,article,News,,"['Factories and Manufacturing', 'Electric and Hybrid Vehicles', 'Automobiles']"
"As Tesla’s plant in Germany nears completion, a union raises concern.",2022-01-20,article,News,,"['Labor and Jobs', 'Factories and Manufacturing', 'Automobiles', 'Organized Labor']"
Can a Tiny Territory in the South Pacific Power Tesla’s Ambitions?,2021-12-30,article,News,,"['Mines and Mining', 'Nickel', 'Indigenous People', 'Electric and Hybrid Vehicles', 'Batteries', 'Corporate Social Responsibility', 'Sustainable Living', 'Greenhouse Gas Emissions', 'Global Warming', 'Carbon Dioxide']"
The Week in Business: Turning Up the Heat on Tesla,2021-08-22,article,News,,"['Stocks and Bonds', 'United States Economy', 'Science and Technology']"
Tesla Reports Record Quarterly Deliveries Amid Chip Scarcity,2021-10-02,article,News,,"['Automobiles', 'Electric and Hybrid Vehicles', 'Company Reports']"
U.S. Is Investigating Tesla Feature That Lets Drivers Play Video Games,2021-12-22,article,News,,"['Driver Distraction and Fatigue', 'Computer and Video Games', 'Driverless and Semiautonomous Vehicles', 'Regulation and Deregulation of Industry', 'Electric and Hybrid Vehicles']"
California Regulator Accuses Tesla of Falsely Advertising Autopilot,2022-08-06,article,News,,"['Electric and Hybrid Vehicles', 'Automobiles', 'Advertising and Marketing', 'Traffic Accidents and Safety', 'Driverless and Semiautonomous Vehicles', 'Automobile Safety Features and Defects']"
Tesla Recalls Cars With Full Self-Driving to Prevent Rolling Stops,2022-02-01,article,News,,"['Recalls and Bans of Products', 'Driverless and Semiautonomous Vehicles', 'Automobile Safety Features and Defects', 'Traffic Accidents and Safety', 'Electric and Hybrid Vehicles']"
Elon Musk sells billions in Tesla stock as he prepares to buy Twitter.,2022-04-29,article,News,,"['Electric and Hybrid Vehicles', 'Social Media', 'Mergers, Acquisitions and Divestitures']"
