headline,date,doc_type,material_type,section,keywords
Your Friday Briefing,2022-04-15,article,briefing,,[]
Why So Many Billionaires Live in California,2022-03-08,article,briefing,,[]
Your Friday Evening Briefing,2022-04-08,article,News,,[]
"For Car Designers, E.V.s Offer a Blank Canvas",2022-03-17,article,News,,"['Electric and Hybrid Vehicles', 'Design']"
"Making Money Online, the Hard Way",2022-01-27,article,News,,"['internal-sub-only-nl', 'Computers and the Internet', 'Social Media', 'Video Recordings, Downloads and Streaming', 'Smartphones']"
Ro Khanna Wants to Save Silicon Valley From Itself,2022-01-25,article,News,,"['United States Politics and Government', 'Social Media']"
An 8-Year-Old Explains the Metaverse,2021-11-06,article,News,,"['Computer and Video Games', 'Virtual Reality (Computers)', 'Computers and the Internet', 'Metaverse (Internet)']"
"Do You Even Decarbonize, Bro?",2023-04-22,article,News,,"['Global Warming', 'Alternative and Renewable Energy', 'Corporate Social Responsibility', 'Computers and the Internet', 'Sustainable Living', 'Greenhouse Gas Emissions']"
China’s New Premier Needs to Revive Growth. How Far Will Loyalty Get Him?,2023-03-13,article,News,,"['Politics and Government', 'Economic Conditions and Trends', 'Content Type: Personal Profile', 'Coronavirus (2019-nCoV)']"
Your Friday Briefing: Russia Proposes a Short Cease-Fire,2023-01-05,article,briefing,,"['United States Politics and Government', 'Russian Invasion of Ukraine (2022)', 'Peace Process', 'Royal Families']"
